# year,team,score,seed,numwins
2007,Orlando Magic,0,8,0
2007,Phoenix Suns,44,2,6
2007,San Antonio Spurs,224,3,16
2007,Toronto Raptors,18,3,2
2007,Utah Jazz,184,4,9
2007,Washington Wizards,0,7,0
2008,Atlanta Hawks,192,8,3
2008,Boston Celtics,96,1,16
2008,Cleveland Cavaliers,132,4,7
2008,Dallas Mavericks,49,7,1
2008,Denver Nuggets,0,8,0
2008,Detroit Pistons,80,2,10
2008,Houston Rockets,50,5,2
2008,Los Angeles Lakers,74,1,14
2008,New Orleans Hornets,48,2,7
2008,Orlando Magic,65,3,5
2008,Philadelphia 76ers,98,7,2
2008,Phoenix Suns,36,6,1
2008,San Antonio Spurs,121,3,9
2008,Toronto Raptors,36,6,1
2008,Utah Jazz,116,4,6
2008,Washington Wizards,50,5,2
2009,Atlanta Hawks,84,4,4
2009,Boston Celtics,48,2,7
2009,Chicago Bulls,147,7,3
2009,Cleveland Cavaliers,50,1,10
2009,Dallas Mavericks,200,6,5
2009,Denver Nuggets,80,2,10
2009,Detroit Pistons,0,8,0
2009,Houston Rockets,195,5,7
2009,Los Angeles Lakers,96,1,16
2009,Miami Heat,75,5,3
2009,New Orleans Hornets,49,7,1
2009,Orlando Magic,177,3,13
2009,Philadelphia 76ers,72,6,2
2009,Portland Trail Blazers,32,4,2
2009,San Antonio Spurs,9,3,1
2009,Utah Jazz,64,8,1
2010,Atlanta Hawks,56,3,4
2010,Boston Celtics,300,4,15
2010,Charlotte Bobcats,0,7,0
2010,Chicago Bulls,64,8,1
2010,Cleveland Cavaliers,26,1,6
2010,Dallas Mavericks,8,2,2
2010,Denver Nuggets,32,4,2
2010,Los Angeles Lakers,96,1,16
2010,Miami Heat,25,5,1
2010,Milwaukee Bucks,108,6,3
2010,Oklahoma City Thunder,128,8,2
2010,Orlando Magic,80,2,10
2010,Phoenix Suns,130,3,10
2010,Portland Trail Blazers,72,6,2
2010,San Antonio Spurs,216,7,4
2010,Utah Jazz,120,5,4
2011,Atlanta Hawks,170,5,6
2011,Boston Celtics,65,3,5
2011,Chicago Bulls,49,1,9
2011,Dallas Mavericks,224,3,16
2011,Denver Nuggets,25,5,1
2011,Indiana Pacers,64,8,1
2011,Los Angeles Lakers,36,2,4
2011,Memphis Grizzlies,468,8,7
2011,Miami Heat,116,2,14
2011,New Orleans Hornets,98,7,2
2011,New York Knicks,0,6,0
2011,Oklahoma City Thunder,184,4,9
2011,Orlando Magic,32,4,2
2011,Philadelphia 76ers,49,7,1
2011,Portland Trail Blazers,72,6,2
2011,San Antonio Spurs,2,1,2
2012,Atlanta Hawks,50,5,2
2012,Boston Celtics,216,4,11
2012,Chicago Bulls,2,1,2
2012,Dallas Mavericks,0,7,0
2012,Denver Nuggets,108,6,3
2012,Indiana Pacers,74,3,6
2012,Los Angeles Clippers,120,5,4
2012,Los Angeles Lakers,65,3,5
2012,Memphis Grizzlies,48,4,3
2012,Miami Heat,144,2,16
2012,New York Knicks,49,7,1
2012,Oklahoma City Thunder,112,2,13
2012,Orlando Magic,36,6,1
2012,Philadelphia 76ers,468,8,7
2012,San Antonio Spurs,50,1,10
2012,Utah Jazz,0,8,0
2013,Atlanta Hawks,72,6,2
2013,Boston Celtics,98,7,2
2013,Brooklyn Nets,48,4,3
2013,Chicago Bulls,145,5,5
2013,Denver Nuggets,18,3,2
2013,Golden State Warriors,236,6,6
2013,Houston Rockets,128,8,2
2013,Indiana Pacers,139,3,11
2013,Los Angeles Clippers,32,4,2
2013,Los Angeles Lakers,0,7,0
2013,Memphis Grizzlies,240,5,8
2013,Miami Heat,96,1,16
2013,Milwaukee Bucks,0,8,0
2013,New York Knicks,44,2,6
2013,Oklahoma City Thunder,25,1,5
2013,San Antonio Spurs,120,2,15
2014,Atlanta Hawks,192,8,3
2014,Brooklyn Nets,200,6,5
2014,Charlotte Bobcats,0,7,0
2014,Chicago Bulls,16,4,1
2014,Dallas Mavericks,192,8,3
2014,Golden State Warriors,108,6,3
2014,Houston Rockets,32,4,2
2014,Indiana Pacers,50,1,10
2014,L.A. Clippers,83,3,7
2014,Memphis Grizzlies,147,7,3
2014,Miami Heat,112,2,13
2014,Oklahoma City Thunder,72,2,8
2014,Portland Trail Blazers,145,5,5
2014,San Antonio Spurs,96,1,16
2014,Toronto Raptors,27,3,3
2014,Washington Wizards,170,5,6
2015,ATL,48,1,8
2015,BOS,0,,0
2015,BRK,128,8,2
2015,CHI,74,3,6
2015,CLE,116,2,14
2015,DAL,0,,1
2015,GSW,96,1,16
2015,HOU,76,2,9
2015,LAC,83,3,7
2015,MEM,170,5,6
2015,MIL,0,,2
2015,NOP,0,,0
2015,POR,0,,1
2015,SAS,0,,3
2015,TOR,0,4,0
2015,WAS,170,5,6
2016,ATL,84,4,4
2016,BOS,50,5,2
2016,CHA,108,6,3
2016,CLE,96,1,16
2016,DAL,36,6,1
2016,DET,0,8,0
2016,GSW,71,,15
2016,HOU,64,8,1
2016,IND,147,7,3
2016,LAC,32,4,2
2016,MEM,0,7,0
2016,MIA,32,,7
2016,OKC,139,3,11
2016,POR,145,5,5
2016,SAS,44,2,6
2016,TOR,80,2,10
2017,ATL,50,5,2
2017,BOS,49,1,9
2017,CHI,128,8,2
2017,CLE,112,2,13
2017,GSW,96,1,16
2017,HOU,74,3,6
2017,IND,0,7,0
2017,LAC,48,4,3
2017,MEM,98,7,2
2017,MIL,72,6,2
2017,OKC,64,8,1
2017,POR,0,8,0
2017,SAS,72,2,8
2017,TOR,56,3,4
2017,UTA,120,5,4
2017,WAS,132,4,7
2018,BOS,84,2,11
2018,CLE,252,4,12
2018,GSW,144,2,16
2018,HOU,51,1,11
2018,IND,75,5,3
2018,MIA,36,6,1
2018,MIL,147,7,3
2018,MIN,64,8,1
2018,NOP,200,6,5
2018,OKC,32,4,2
2018,PHI,65,3,5
2018,POR,0,3,0
2018,SAS,49,7,1
2018,TOR,24,1,4
2018,UTA,145,5,5
2018,WAS,128,8,2
2019,BOS,100,4,5
2019,BRK,36,6,1
2019,DEN,48,2,7
2019,DET,0,8,0
2019,GSW,74,1,14
2019,HOU,116,4,6
2019,IND,0,5,0
2019,LAC,128,8,2
2019,MIL,50,1,10
2019,OKC,36,6,1
2019,ORL,49,7,1
2019,PHI,83,3,7
2019,POR,112,3,8
2019,SAS,147,7,3
2019,TOR,144,2,16
2019,UTA,25,5,1
2020,BOS,130,3,10
2020,BRK,0,7,0
2020,DAL,98,7,2
2020,DEN,121,3,9
2020,HOU,100,4,5
2020,IND,0,4,0
2020,LAC,48,2,7
2020,LAL,96,1,16
2020,MIA,410,5,14
2020,MIL,25,1,5
2020,OKC,75,5,3
2020,ORL,64,8,1
2020,PHI,0,6,0
2020,POR,64,8,1
2020,TOR,48,2,7
2020,UTA,108,6,3
